Frame,Time,Top_X,Top_Y,Top_Z,Pendulum_X,Pendulum_Y,Pendulum_Z
990,8.25,-0.000686,1.020784,0.024938,-0.32847,0.457427,-0.004769
991,8.258333,-0.000787,1.020878,0.024932,-0.351911,0.472015,-0.006939
992,8.266667,-0.000859,1.020963,0.024932,-0.373541,0.487585,-0.008843
993,8.275,-0.000949,1.021118,0.024958,-0.394235,0.503213,-0.01103
994,8.283333,-0.000993,1.021145,0.024953,-0.414288,0.517845,-0.013197
995,8.291667,-0.001086,1.021118,0.024937,-0.432878,0.533228,-0.015332
996,8.3,-0.001126,1.021226,0.024907,-0.450571,0.548942,-0.017455
997,8.308333,-0.001196,1.021264,0.024861,-0.467394,0.564957,-0.019562
998,8.316667,-0.001317,1.02134,0.024885,-0.483418,0.581454,-0.021639
999,8.325,-0.001395,1.021354,0.024891,-0.498756,0.598708,-0.024031
1000,8.333333,-0.001563,1.021443,0.024846,-0.513304,0.615841,-0.026103
1001,8.341667,-0.001713,1.021396,0.024825,-0.526841,0.633331,-0.027704
1002,8.35,-0.001844,1.021354,0.024823,-0.539587,0.650845,-0.029183
1003,8.358333,-0.001992,1.021303,0.024839,-0.551192,0.668362,-0.031095
1004,8.366667,-0.002123,1.02138,0.02487,-0.562436,0.68538,-0.031867
1005,8.375,-0.002232,1.021447,0.024895,-0.572264,0.7023,-0.03285
1006,8.383333,-0.002299,1.02149,0.024786,-0.581362,0.718647,-0.033822
1007,8.391667,-0.002304,1.021504,0.024773,-0.589641,0.734411,-0.034801
1008,8.4,-0.002157,1.021639,0.024767,-0.597074,0.74984,-0.035694
1009,8.408333,-0.002101,1.021673,0.024745,-0.603809,0.764939,-0.036699
1010,8.416667,-0.001982,1.021673,0.024709,-0.609873,0.779599,-0.037652
1011,8.425,-0.001836,1.021757,0.024727,-0.615586,0.793949,-0.038053
1012,8.433333,-0.001746,1.021785,0.024706,-0.620267,0.807303,-0.039479
1013,8.441667,-0.001662,1.021805,0.0247,-0.624197,0.820691,-0.040611
1014,8.45,-0.001607,1.021837,0.024645,-0.628139,0.833664,-0.041398
1015,8.458333,-0.001545,1.021835,0.024672,-0.631616,0.846157,-0.042108
1016,8.466667,-0.001532,1.02185,0.024634,-0.634556,0.857999,-0.042635
1017,8.475,-0.001497,1.021844,0.024675,-0.637243,0.869509,-0.04322
1018,8.483333,-0.001501,1.021846,0.024682,-0.639482,0.880295,-0.04357
1019,8.491667,-0.001507,1.021847,0.024681,-0.641468,0.890578,-0.043879
1020,8.5,-0.001536,1.021831,0.02469,-0.643033,0.900342,-0.044151
1021,8.508333,-0.001548,1.021837,0.024694,-0.644508,0.909104,-0.044365
1022,8.516667,-0.001569,1.021832,0.024695,-0.646069,0.917626,-0.044263
1023,8.525,-0.001571,1.021836,0.024696,-0.647,0.925086,-0.044415
1024,8.533333,-0.001563,1.021835,0.02469,-0.647726,0.931863,-0.044496
1025,8.541667,-0.001535,1.021853,0.024685,-0.648188,0.93787,-0.04454
1026,8.55,-0.001468,1.021917,0.024685,-0.648709,0.943187,-0.044712
1027,8.558333,-0.001444,1.021939,0.024631,-0.648908,0.947718,-0.044847
