Format Version,1.21,Take Name,Run_4_Paketband,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-02-14 10.48.42 AM,Total Frames in Take,6333,Total Exported Frames,6333,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:102,Unlabeled:102,Unlabeled:102,Unlabeled:103,Unlabeled:103,Unlabeled:103,Unlabeled:104,Unlabeled:104,Unlabeled:104,Unlabeled:107,Unlabeled:107,Unlabeled:107
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E357068","8392B20CF49E357068","8392B20CF49E357068","8392B20CF49E35706B","8392B20CF49E35706B","8392B20CF49E35706B"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
50,0.416667,0.011754,0.417023,0.086277,-0.017975,1.025013,0.021773,1.864909,0.018031,0.351914,,,,,,,,,
51,0.425000,0.012875,0.417041,0.086272,-0.017969,1.025006,0.021769,1.864977,0.018001,0.351894,,,,,,,,,
52,0.433333,0.013856,0.417093,0.086043,-0.017968,1.025012,0.021771,1.864886,0.018033,0.351917,,,,,,,,,
53,0.441667,0.014716,0.417065,0.085917,-0.017975,1.025007,0.021769,1.865042,0.017953,0.351872,,,,,,,,,
54,0.450000,0.015716,0.417149,0.085651,-0.017970,1.025009,0.021770,1.865053,0.017952,0.351870,,,,,,,,,
55,0.458333,0.016719,0.417226,0.085368,-0.017977,1.025008,0.021774,1.864938,0.018010,0.351904,,,,,,,,,
56,0.466667,0.017490,0.417223,0.085009,-0.017970,1.025005,0.021770,1.864992,0.017979,0.351887,,,,,,,,,
57,0.475000,0.018328,0.417175,0.084555,-0.017976,1.025007,0.021770,1.864973,0.017980,0.351891,,,,,,,,,
58,0.483333,0.018962,0.417178,0.084000,-0.017922,1.024961,0.021752,1.865072,0.017935,0.351860,,,,,,,,,
59,0.491667,0.019654,0.417107,0.083470,-0.017965,1.025009,0.021775,1.864954,0.018002,0.351897,,,,,,,,,
60,0.500000,0.020320,0.417212,0.082827,-0.017967,1.025006,0.021767,1.864989,0.017980,0.351886,,,,,,,,,
61,0.508333,0.021075,0.417227,0.082237,-0.017965,1.025002,0.021769,1.864939,0.018016,0.351903,,,,,,,,,
62,0.516667,0.021665,0.417223,0.081562,-0.017965,1.025012,0.021773,1.864939,0.018014,0.351905,,,,,,,,,
63,0.525000,0.022110,0.417140,0.080662,-0.017970,1.025006,0.021772,1.865027,0.017944,0.351871,,,,,,,,,
64,0.533333,0.022573,0.417089,0.079778,-0.017971,1.025004,0.021774,1.864954,0.018013,0.351900,,,,,,,,,
65,0.541667,0.023005,0.417035,0.078890,-0.017962,1.025006,0.021770,1.865086,0.017923,0.351854,,,,,,,,,
66,0.550000,0.023248,0.416734,0.078044,-0.017967,1.025005,0.021772,1.865018,0.017975,0.351882,,,,,,,,,
67,0.558333,0.023537,0.416672,0.077024,-0.017962,1.025011,0.021768,1.865037,0.017977,0.351876,,,,,,,,,
68,0.566667,0.023793,0.416560,0.075978,-0.017970,1.025004,0.021773,1.864995,0.017979,0.351886,,,,,,,,,
69,0.575000,0.024026,0.416465,0.074854,-0.017965,1.025006,0.021770,1.864970,0.017985,0.351888,,,,,,,,,
70,0.583333,0.024192,0.416286,0.073654,-0.017973,1.025010,0.021777,1.864947,0.018021,0.351903,,,,,,,,,
71,0.591667,0.024262,0.416195,0.072543,-0.017971,1.025000,0.021772,1.864985,0.017983,0.351890,,,,,,,,,
72,0.600000,0.024232,0.416180,0.071125,-0.017968,1.025014,0.021772,1.864992,0.018002,0.351895,,,,,,,,,
73,0.608333,0.024217,0.416010,0.069924,-0.017972,1.025010,0.021771,1.865005,0.017952,0.351876,,,,,,,,,
74,0.616667,0.024109,0.415889,0.068461,-0.017968,1.025011,0.021766,1.864977,0.018012,0.351899,,,,,,,,,
75,0.625000,0.023972,0.415753,0.067112,-0.017973,1.025006,0.021771,1.864943,0.018009,0.351902,,,,,,,,,
76,0.633333,0.023767,0.415605,0.065647,-0.017969,1.025010,0.021773,1.865018,0.017978,0.351879,,,,,,,,,
77,0.641667,0.023522,0.415537,0.064150,-0.017964,1.025013,0.021765,1.864981,0.018027,0.351900,,,,,,,,,
78,0.650000,0.023234,0.415369,0.062516,-0.017994,1.025017,0.021725,1.864966,0.018000,0.351896,,,,,,,,,
79,0.658333,0.022848,0.415256,0.061062,-0.017969,1.025008,0.021765,1.865021,0.017963,0.351878,,,,,,,,,
80,0.666667,0.022509,0.415037,0.059429,-0.017976,1.025012,0.021771,1.865013,0.017981,0.351885,,,,,,,,,
81,0.675000,0.021960,0.414974,0.057736,-0.017971,1.025012,0.021770,1.864971,0.018000,0.351897,,,,,,,,,
82,0.683333,0.021468,0.414830,0.056083,-0.017968,1.025012,0.021776,1.864936,0.018018,0.351906,,,,,,,,,
83,0.691667,0.020864,0.414685,0.054335,-0.017922,1.024965,0.021752,1.864984,0.017999,0.351896,,,,,,,,,
84,0.700000,0.020338,0.414450,0.052660,-0.017966,1.025009,0.021764,1.865044,0.017964,0.351872,,,,,,,,,
85,0.708333,0.019669,0.414252,0.050898,-0.017966,1.025012,0.021767,1.864909,0.018019,0.351910,,,,,,,,,
86,0.716667,0.018978,0.414167,0.049071,-0.017923,1.024972,0.021743,1.864900,0.018042,0.351918,,,,,,,,,
87,0.725000,0.018209,0.414039,0.047280,-0.017971,1.025007,0.021767,1.864900,0.018046,0.351920,,,,,,,,,
88,0.733333,0.017332,0.413906,0.045521,-0.017974,1.025005,0.021768,1.864880,0.018054,0.351923,,,,,,,,,
89,0.741667,0.016515,0.413736,0.043609,-0.017966,1.025010,0.021764,1.865070,0.017958,0.351868,,,,,,,,,
90,0.750000,0.015665,0.413600,0.041808,-0.017968,1.025008,0.021763,1.864943,0.018004,0.351899,,,,,,,,,
91,0.758333,0.014668,0.413487,0.039965,-0.017968,1.025018,0.021769,1.864989,0.017979,0.351888,,,,,,,,,
92,0.766667,0.013649,0.413324,0.037953,-0.017962,1.025015,0.021770,1.865007,0.017966,0.351881,,,,,,,,,
93,0.775000,0.012543,0.413383,0.036109,-0.017975,1.024998,0.021767,1.864946,0.017992,0.351896,,,,,,,,,
94,0.783333,0.011509,0.413128,0.034269,-0.017972,1.025010,0.021770,1.864915,0.018026,0.351911,,,,,,,,,
95,0.791667,0.010441,0.412942,0.032242,-0.017970,1.025013,0.021773,1.865063,0.017952,0.351866,,,,,,,,,
96,0.800000,0.009276,0.412846,0.030497,-0.017965,1.025015,0.021769,1.864993,0.017981,0.351889,,,,,,,,,
97,0.808333,0.008076,0.412753,0.028556,-0.017972,1.025007,0.021771,1.864973,0.017984,0.351891,,,,,,,,,
98,0.816667,0.006881,0.412636,0.026550,-0.017967,1.025002,0.021765,1.864940,0.017998,0.351898,,,,,,,,,
99,0.825000,0.005617,0.412497,0.024705,-0.017962,1.025011,0.021768,1.864966,0.017997,0.351896,,,,,,,,,
100,0.833333,0.004349,0.412473,0.022858,-0.017928,1.024964,0.021751,1.864971,0.017974,0.351890,,,,,,,,,
101,0.841667,0.002975,0.412384,0.020859,-0.017965,1.025012,0.021763,1.865002,0.017971,0.351882,,,,,,,,,
102,0.850000,0.001647,0.412297,0.019072,-0.017923,1.024967,0.021743,1.864877,0.018067,0.351927,,,,,,,,,
103,0.858333,0.000230,0.412258,0.017246,-0.017972,1.024997,0.021764,1.864924,0.018009,0.351904,,,,,,,,,
104,0.866667,-0.000965,0.412328,0.015314,-0.017967,1.025010,0.021760,1.864939,0.018001,0.351901,,,,,,,,,
105,0.875000,-0.002620,0.412484,0.013430,-0.017970,1.025026,0.021765,1.864956,0.018006,0.351899,,,,,,,,,
106,0.883333,-0.004024,0.412385,0.011600,-0.017974,1.025010,0.021764,1.864981,0.017979,0.351887,,,,,,,,,
107,0.891667,-0.005540,0.412306,0.009739,-0.017966,1.025010,0.021761,1.864974,0.017983,0.351890,,,,,,,,,
108,0.900000,-0.006898,0.412199,0.008177,-0.017924,1.024976,0.021751,1.864897,0.018027,0.351914,,,,,,,,,
109,0.908333,-0.008546,0.412096,0.006261,-0.017968,1.025019,0.021766,1.865012,0.017969,0.351881,,,,,,,,,
110,0.916667,-0.010179,0.412335,0.004520,-0.017927,1.024976,0.021745,1.864877,0.018041,0.351920,,,,,,,,,
111,0.925000,-0.011683,0.412271,0.002811,-0.017970,1.025018,0.021765,1.864984,0.017990,0.351889,,,,,,,,,
112,0.933333,-0.013190,0.412180,0.001204,-0.017968,1.025007,0.021760,1.864967,0.017978,0.351890,,,,,,,,,
113,0.941667,-0.014741,0.412218,-0.000394,-0.017977,1.025008,0.021768,1.865004,0.017991,0.351887,,,,,,,,,
114,0.950000,-0.016407,0.412337,-0.002070,-0.017974,1.025017,0.021765,1.864998,0.017987,0.351888,,,,,,,,,
115,0.958333,-0.017941,0.412209,-0.003455,-0.017970,1.025021,0.021766,1.864900,0.018039,0.351917,,,,,,,,,
116,0.966667,-0.019513,0.412263,-0.005050,-0.017973,1.025018,0.021767,1.864879,0.018032,0.351918,,,,,,,,,
117,0.975000,-0.021127,0.412438,-0.006530,-0.017933,1.024978,0.021750,1.864947,0.018018,0.351901,,,,,,,,,
118,0.983333,-0.022681,0.412353,-0.007885,-0.017979,1.025023,0.021765,1.864982,0.017995,0.351890,,,,,,,,,
119,0.991667,-0.024420,0.412529,-0.009367,-0.017976,1.025018,0.021768,1.864917,0.018023,0.351910,,,,,,,,,
120,1.000000,-0.025843,0.412564,-0.010551,-0.017978,1.025016,0.021769,1.865062,0.017960,0.351869,,,,,,,,,
121,1.008333,-0.027587,0.412714,-0.012008,-0.017982,1.025015,0.021771,1.864886,0.018049,0.351919,,,,,,,,,
122,1.016667,-0.029254,0.412703,-0.013256,-0.017980,1.025016,0.021772,1.864954,0.017997,0.351899,,,,,,,,,
123,1.025000,-0.030667,0.412722,-0.014433,-0.017980,1.025010,0.021772,1.864902,0.018037,0.351918,,,,,,,,,
