Frame,Time,Pendulum_X,Pendulum_Y,Pendulum_Z,Top_X,Top_Y,Top_Z
592,4.933333,0.328934,0.568716,-0.288388,0.000591,1.021026,0.025522
593,4.941667,0.314401,0.560382,-0.29169,0.000519,1.021056,0.025509
594,4.95,0.299344,0.552082,-0.294658,0.000472,1.021039,0.025525
595,4.958333,0.283602,0.543504,-0.296987,0.000367,1.021058,0.025525
596,4.966667,0.267316,0.535441,-0.299019,0.000332,1.021036,0.025597
597,4.975,0.250944,0.527151,-0.300385,0.000254,1.021027,0.02564
598,4.983333,0.233751,0.519256,-0.301888,0.000199,1.021063,0.0256
599,4.991667,0.216647,0.511376,-0.301639,0.000091,1.021007,0.02554
600,5,0.19842,0.503411,-0.301707,0.000077,1.020992,0.025534
601,5.008333,0.181416,0.494813,-0.301164,0.000089,1.020931,0.02556
602,5.016667,0.162203,0.488631,-0.299157,0.000111,1.020927,0.025559
603,5.025,0.14367,0.481709,-0.296703,0.000184,1.020916,0.025492
604,5.033333,0.124931,0.475065,-0.293896,0.000199,1.020906,0.02549
605,5.041667,0.105609,0.468807,-0.290737,0.000259,1.020795,0.025541
606,5.05,0.086167,0.463063,-0.286714,0.000196,1.02083,0.025531
607,5.058333,0.06651,0.457489,-0.281993,0.000204,1.020778,0.025555
608,5.066667,0.046841,0.452413,-0.276785,0.000154,1.020773,0.025648
609,5.075,0.027018,0.447819,-0.270829,0.000007,1.020853,0.025639
610,5.083333,0.006877,0.443564,-0.264421,-0.000046,1.020849,0.025643
611,5.091667,-0.013973,0.441308,-0.257845,-0.000221,1.0207,0.025497
612,5.1,-0.033942,0.43797,-0.250044,-0.000323,1.020722,0.025488
613,5.108333,-0.053913,0.435426,-0.241879,-0.000393,1.020708,0.025501
614,5.116667,-0.073699,0.433271,-0.232945,-0.000448,1.020694,0.025505
615,5.125,-0.093579,0.431621,-0.223841,-0.000548,1.020599,0.025476
616,5.133333,-0.113111,0.430887,-0.214027,-0.000568,1.020594,0.025479
617,5.141667,-0.132413,0.430425,-0.2038,-0.000712,1.020624,0.025428
618,5.15,-0.15163,0.430651,-0.193111,-0.000714,1.020617,0.025422
619,5.158333,-0.170491,0.430959,-0.18132,-0.00065,1.020561,0.02539
620,5.166667,-0.188953,0.432276,-0.169557,-0.000644,1.020565,0.025393
621,5.175,-0.20698,0.434219,-0.157507,-0.000706,1.020626,0.025422
622,5.183333,-0.224646,0.436664,-0.145047,-0.000653,1.020572,0.025387
623,5.191667,-0.241931,0.439369,-0.132307,-0.000653,1.020678,0.025506
624,5.2,-0.258454,0.442896,-0.118908,-0.000778,1.020622,0.02543
625,5.208333,-0.274721,0.446737,-0.105593,-0.000831,1.020612,0.025436
626,5.216667,-0.290483,0.451046,-0.092029,-0.000899,1.020602,0.025442
627,5.225,-0.305451,0.455987,-0.078047,-0.001047,1.020536,0.02536
628,5.233333,-0.320018,0.461264,-0.063949,-0.001158,1.020532,0.025438
629,5.241667,-0.333895,0.466853,-0.049691,-0.001217,1.020582,0.025401
630,5.25,-0.347089,0.473018,-0.035246,-0.001298,1.020578,0.025462
631,5.258333,-0.359698,0.479495,-0.020655,-0.001329,1.020643,0.025425
632,5.266667,-0.371604,0.48611,-0.005922,-0.001366,1.02062,0.025434
633,5.275,-0.382807,0.493263,0.008867,-0.00133,1.020593,0.025473
634,5.283333,-0.39329,0.500463,0.023713,-0.001314,1.020591,0.025474
635,5.291667,-0.403241,0.508145,0.038332,-0.001307,1.020656,0.025436
636,5.3,-0.412454,0.515739,0.053069,-0.001331,1.020704,0.025399
637,5.308333,-0.420991,0.52365,0.067746,-0.001269,1.020605,0.025471
638,5.316667,-0.428754,0.531747,0.082297,-0.001256,1.020677,0.025427
639,5.325,-0.435973,0.539821,0.096798,-0.001254,1.020623,0.025477
640,5.333333,-0.442445,0.547968,0.111189,-0.001302,1.020724,0.025394
641,5.341667,-0.448351,0.556197,0.125361,-0.001301,1.020737,0.025386
642,5.35,-0.453632,0.564028,0.139406,-0.001306,1.020749,0.025392
643,5.358333,-0.45818,0.572188,0.153439,-0.001321,1.02075,0.025392
644,5.366667,-0.462064,0.580184,0.167213,-0.001313,1.020764,0.025386
645,5.375,-0.46527,0.58805,0.181067,-0.001319,1.02077,0.025385
646,5.383333,-0.467941,0.595992,0.194444,-0.001311,1.020787,0.025377
647,5.391667,-0.470019,0.603719,0.207138,-0.001302,1.020794,0.025368
648,5.4,-0.471566,0.611177,0.220334,-0.00129,1.020795,0.025364
649,5.408333,-0.472453,0.61861,0.232922,-0.001271,1.020817,0.025354
650,5.416667,-0.4729,0.625691,0.245246,-0.001261,1.020824,0.025357
651,5.425,-0.47273,0.63262,0.257375,-0.001144,1.020889,0.025435
652,5.433333,-0.472147,0.639201,0.269238,-0.00112,1.020905,0.025428
653,5.441667,-0.471029,0.645531,0.28084,-0.0011,1.02091,0.025428
654,5.45,-0.469298,0.651485,0.292221,-0.001074,1.020918,0.025426
655,5.458333,-0.46738,0.657144,0.303183,-0.001055,1.020929,0.02542
656,5.466667,-0.464764,0.662598,0.314028,-0.000975,1.021012,0.025452
657,5.475,-0.461822,0.667425,0.324326,-0.00096,1.021022,0.025456
658,5.483333,-0.45848,0.672109,0.334761,-0.000957,1.02102,0.02545
659,5.491667,-0.454721,0.676335,0.344753,-0.000952,1.021021,0.025447
660,5.5,-0.450383,0.680157,0.354296,-0.001007,1.020936,0.025417
661,5.508333,-0.445966,0.683573,0.363833,-0.000941,1.021028,0.025446
662,5.516667,-0.441051,0.686534,0.372698,-0.000936,1.021034,0.025445
663,5.525,-0.435722,0.689105,0.381551,-0.000988,1.02095,0.02541
664,5.533333,-0.430274,0.69133,0.390228,-0.000929,1.021042,0.025445
665,5.541667,-0.424283,0.69306,0.398489,-0.000931,1.021047,0.02544
666,5.55,-0.41798,0.694383,0.406415,-0.000928,1.021061,0.025438
667,5.558333,-0.411441,0.695257,0.413892,-0.000932,1.021059,0.025432
668,5.566667,-0.404393,0.695471,0.421088,-0.000951,1.021074,0.025392
669,5.575,-0.397094,0.695496,0.428066,-0.00093,1.021081,0.025382
670,5.583333,-0.389506,0.695083,0.434796,-0.000896,1.021061,0.025428
671,5.591667,-0.381816,0.694126,0.44109,-0.000927,1.020977,0.025395
672,5.6,-0.373557,0.692811,0.447163,-0.000858,1.021064,0.025426
673,5.608333,-0.365302,0.690964,0.452773,-0.000837,1.021056,0.025428
674,5.616667,-0.356378,0.68879,0.458285,-0.000821,1.021053,0.025428
675,5.625,-0.347532,0.686041,0.463187,-0.000726,1.021106,0.02552
676,5.633333,-0.338173,0.683069,0.467816,-0.000728,1.020949,0.025472
677,5.641667,-0.328677,0.679547,0.472309,-0.000672,1.021034,0.025514
678,5.65,-0.318779,0.67563,0.476217,-0.000679,1.02103,0.025514
679,5.658333,-0.308788,0.671455,0.479424,-0.000756,1.021083,0.02553
680,5.666667,-0.298543,0.666753,0.482406,-0.000781,1.020919,0.025481
681,5.675,-0.287854,0.661738,0.485079,-0.000852,1.020978,0.025496
682,5.683333,-0.27702,0.656478,0.48723,-0.000865,1.020968,0.025501
683,5.691667,-0.265754,0.650558,0.489328,-0.00087,1.020955,0.025499
684,5.7,-0.254493,0.644621,0.490245,-0.000758,1.020882,0.025584
685,5.708333,-0.242781,0.638409,0.490986,-0.00078,1.020845,0.025534
686,5.716667,-0.230914,0.631759,0.491228,-0.000705,1.02083,0.02563
687,5.725,-0.218597,0.624652,0.491245,-0.000619,1.020761,0.025607
688,5.733333,-0.206494,0.617792,0.490084,-0.000612,1.020741,0.025604
689,5.741667,-0.193817,0.610549,0.488856,-0.000552,1.020684,0.025629
690,5.75,-0.181124,0.602868,0.486901,-0.000546,1.020676,0.02563
691,5.758333,-0.16806,0.595232,0.48452,-0.000463,1.020764,0.025682
692,5.766667,-0.155103,0.587646,0.481343,-0.000533,1.020581,0.025676
693,5.775,-0.140702,0.578948,0.478038,-0.000455,1.020666,0.025728
694,5.783333,-0.127953,0.571534,0.473441,-0.000532,1.020558,0.02569
695,5.791667,-0.113297,0.56252,0.468599,-0.000545,1.020542,0.025694
696,5.8,-0.099431,0.554336,0.46307,-0.000555,1.020529,0.025698
697,5.808333,-0.085506,0.546189,0.456814,-0.000567,1.02051,0.025709
698,5.816667,-0.071932,0.538626,0.44959,-0.000522,1.020444,0.025723
699,5.825,-0.057711,0.530542,0.442057,-0.000518,1.020425,0.025726
700,5.833333,-0.043482,0.522802,0.433842,-0.000505,1.020416,0.025737
701,5.841667,-0.029278,0.514974,0.425284,-0.000485,1.020405,0.025744
702,5.85,-0.01483,0.507826,0.4156,-0.000363,1.020333,0.025789
703,5.858333,-0.000647,0.500189,0.405263,-0.00028,1.020419,0.025843
704,5.866667,0.013586,0.49286,0.394526,-0.000253,1.020401,0.025844
705,5.875,0.02767,0.485955,0.382834,-0.000228,1.020397,0.025846
706,5.883333,0.041771,0.47914,0.37069,-0.0002,1.020385,0.025849
707,5.891667,0.055798,0.472654,0.357941,-0.000186,1.020374,0.025851
708,5.9,0.069674,0.466741,0.344532,-0.000173,1.020363,0.025855
709,5.908333,0.083283,0.461093,0.330452,-0.000154,1.020357,0.025853
710,5.916667,0.096825,0.455594,0.315852,-0.000144,1.020357,0.025858
711,5.925,0.110053,0.4506,0.300675,-0.000136,1.020359,0.025858
712,5.933333,0.123024,0.446254,0.284889,-0.000128,1.020352,0.025853
713,5.941667,0.13576,0.442113,0.268659,-0.000107,1.020354,0.02585
