Format Version,1.21,Take Name,Run_3_Paketband,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-02-14 10.47.58 AM,Total Frames in Take,4035,Total Exported Frames,4035,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:102,Unlabeled:102,Unlabeled:102
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357066"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
125,1.041667,-0.015934,1.024317,0.022488,0.403336,0.579177,-0.080498,1.865077,0.017912,0.351855
126,1.050000,-0.015920,1.024310,0.022526,0.402589,0.578694,-0.081361,1.865005,0.017936,0.351873
127,1.058333,-0.015960,1.024320,0.022489,0.402006,0.578217,-0.082072,1.864936,0.018003,0.351901
128,1.066667,-0.015979,1.024317,0.022486,0.400674,0.577375,-0.083540,1.865005,0.017953,0.351876
129,1.075000,-0.015975,1.024312,0.022533,0.399625,0.576830,-0.084902,1.864934,0.017993,0.351900
130,1.083333,-0.016067,1.024332,0.022432,0.398176,0.576005,-0.086552,1.865042,0.017925,0.351865
131,1.091667,-0.016076,1.024332,0.022421,0.396875,0.575244,-0.088156,1.864930,0.017991,0.351899
132,1.100000,-0.016112,1.024342,0.022420,0.395069,0.574218,-0.090306,1.864930,0.017974,0.351895
133,1.108333,-0.016145,1.024341,0.022419,0.393352,0.573210,-0.092325,1.864966,0.017997,0.351894
134,1.116667,-0.016208,1.024383,0.022417,0.391423,0.572023,-0.094565,1.864967,0.017969,0.351885
135,1.125000,-0.016223,1.024385,0.022412,0.389176,0.570683,-0.097105,1.864982,0.017972,0.351887
136,1.133333,-0.016230,1.024397,0.022406,0.386978,0.569432,-0.099554,1.864976,0.017982,0.351889
137,1.141667,-0.016239,1.024405,0.022403,0.384308,0.567933,-0.102302,1.865034,0.017948,0.351873
138,1.150000,-0.016251,1.024457,0.022387,0.381414,0.566332,-0.105106,1.864991,0.017964,0.351884
139,1.158333,-0.016341,1.024438,0.022354,0.378389,0.564703,-0.107939,1.864995,0.017957,0.351877
140,1.166667,-0.016395,1.024459,0.022353,0.375132,0.563067,-0.110690,1.864970,0.017971,0.351886
141,1.175000,-0.016571,1.024587,0.022220,0.371762,0.561558,-0.113422,1.864993,0.017970,0.351882
142,1.183333,-0.016724,1.024643,0.022213,0.367816,0.560040,-0.116344,1.864960,0.017975,0.351886
143,1.191667,-0.016956,1.024784,0.022213,0.362728,0.558072,-0.119564,1.864974,0.017956,0.351884
144,1.200000,-0.017315,1.024726,0.022029,0.357608,0.556011,-0.122521,1.865037,0.017940,0.351868
145,1.208333,-0.017539,1.024886,0.022060,0.351125,0.554024,-0.124842,1.864950,0.017989,0.351893
146,1.216667,-0.017889,1.024951,0.021866,0.344019,0.552466,-0.126694,1.864876,0.018035,0.351919
147,1.225000,-0.018013,1.024992,0.021870,0.336319,0.550502,-0.128385,1.865051,0.017947,0.351868
148,1.233333,-0.018040,1.025005,0.021836,0.328335,0.548095,-0.130032,1.864985,0.017959,0.351881
149,1.241667,-0.018060,1.025048,0.021778,0.320582,0.545238,-0.131708,1.864954,0.017989,0.351894
150,1.250000,-0.018068,1.025090,0.021755,0.312417,0.541493,-0.133742,1.864983,0.017977,0.351887
151,1.258333,-0.018085,1.025103,0.021744,0.304527,0.537430,-0.135785,1.864935,0.017991,0.351898
152,1.266667,-0.018082,1.025088,0.021728,0.296695,0.532678,-0.137667,1.864965,0.017977,0.351891
153,1.275000,-0.018052,1.025078,0.021732,0.288761,0.527252,-0.139529,1.864959,0.017988,0.351893
154,1.283333,-0.017967,1.025078,0.021722,0.280906,0.521691,-0.141205,1.865048,0.017917,0.351859
155,1.291667,-0.017792,1.025001,0.021672,0.272624,0.515964,-0.142545,1.864934,0.018001,0.351902
156,1.300000,-0.017645,1.025011,0.021727,0.263658,0.510400,-0.143510,1.864984,0.017965,0.351883
157,1.308333,-0.017478,1.024951,0.021830,0.254108,0.505098,-0.143919,1.864961,0.017995,0.351896
158,1.316667,-0.017454,1.024895,0.021904,0.244018,0.499935,-0.144226,1.864964,0.017996,0.351893
159,1.325000,-0.017500,1.024887,0.022015,0.233644,0.494636,-0.144362,1.865014,0.017959,0.351877
160,1.333333,-0.017675,1.024884,0.021930,0.222958,0.488979,-0.144400,1.864954,0.017989,0.351894
161,1.341667,-0.017746,1.024796,0.021913,0.212257,0.483736,-0.144116,1.865036,0.017934,0.351866
162,1.350000,-0.017760,1.024766,0.021909,0.200416,0.478662,-0.143677,1.865077,0.017921,0.351858
163,1.358333,-0.017790,1.024777,0.021910,0.188703,0.473710,-0.143277,1.864969,0.017987,0.351891
164,1.366667,-0.017923,1.024905,0.021860,0.176569,0.469045,-0.142893,1.864976,0.017999,0.351894
165,1.375000,-0.018050,1.024985,0.021867,0.165029,0.464698,-0.141820,1.864869,0.018042,0.351925
166,1.383333,-0.018132,1.024983,0.021849,0.152875,0.460454,-0.140651,1.864978,0.017957,0.351881
167,1.391667,-0.018211,1.024924,0.021789,0.140306,0.456213,-0.139516,1.864950,0.017996,0.351898
168,1.400000,-0.018112,1.025010,0.021743,0.127734,0.452353,-0.137985,1.865085,0.017925,0.351855
169,1.408333,-0.018018,1.025048,0.021714,0.114777,0.448840,-0.136240,1.864932,0.018000,0.351901
170,1.416667,-0.017879,1.025042,0.021675,0.101744,0.445529,-0.134057,1.864936,0.018002,0.351901
171,1.425000,-0.017807,1.025031,0.021629,0.088470,0.442370,-0.131513,1.864930,0.018002,0.351902
172,1.433333,-0.017798,1.025017,0.021630,0.075094,0.439308,-0.128769,1.864968,0.017983,0.351893
173,1.441667,-0.017805,1.025001,0.021644,0.061879,0.436417,-0.125604,1.864994,0.017973,0.351885
174,1.450000,-0.017794,1.024998,0.021729,0.048192,0.433308,-0.122466,1.864912,0.018009,0.351905
175,1.458333,-0.017729,1.024948,0.021710,0.034929,0.430461,-0.118844,1.865026,0.017929,0.351870
176,1.466667,-0.017704,1.024922,0.021729,0.021062,0.427779,-0.115306,1.864963,0.017988,0.351892
177,1.475000,-0.017664,1.024805,0.021832,0.007373,0.425878,-0.111230,1.864958,0.017971,0.351889
178,1.483333,-0.017797,1.024721,0.021830,-0.006563,0.424569,-0.107006,1.865041,0.017945,0.351869
179,1.491667,-0.017927,1.024872,0.021846,-0.020571,0.423505,-0.102519,1.864926,0.018008,0.351905
180,1.500000,-0.018071,1.024938,0.021879,-0.034419,0.422722,-0.097777,1.865036,0.017945,0.351869
181,1.508333,-0.018180,1.024876,0.021844,-0.048493,0.422196,-0.093252,1.864993,0.017987,0.351886
182,1.516667,-0.018168,1.024851,0.021819,-0.062126,0.421937,-0.088234,1.865011,0.017956,0.351878
183,1.525000,-0.018125,1.024853,0.021795,-0.075740,0.421694,-0.083256,1.864987,0.017982,0.351886
184,1.533333,-0.017983,1.024906,0.021786,-0.089247,0.422075,-0.077915,1.864940,0.017993,0.351898
185,1.541667,-0.018026,1.024995,0.021784,-0.102631,0.422857,-0.072525,1.864954,0.017975,0.351892
186,1.550000,-0.018042,1.025031,0.021723,-0.115738,0.424192,-0.066751,1.864923,0.018006,0.351904
187,1.558333,-0.018015,1.025045,0.021704,-0.128930,0.425502,-0.061130,1.865004,0.017968,0.351881
188,1.566667,-0.017910,1.025011,0.021658,-0.141812,0.427219,-0.055200,1.864975,0.017977,0.351889
189,1.575000,-0.017790,1.024987,0.021608,-0.154409,0.428945,-0.049233,1.864928,0.018006,0.351902
190,1.583333,-0.017733,1.024989,0.021605,-0.167046,0.430877,-0.043103,1.865041,0.017926,0.351861
191,1.591667,-0.017674,1.025015,0.021669,-0.179215,0.433377,-0.036744,1.864925,0.018006,0.351902
192,1.600000,-0.017757,1.024929,0.021679,-0.191234,0.436164,-0.030401,1.865073,0.017926,0.351857
193,1.608333,-0.017864,1.024941,0.021748,-0.202834,0.439103,-0.023706,1.864968,0.018003,0.351897
194,1.616667,-0.017969,1.024961,0.021788,-0.214337,0.442188,-0.017136,1.864988,0.017971,0.351885
195,1.625000,-0.018004,1.024932,0.021811,-0.225646,0.445292,-0.010539,1.864961,0.017972,0.351891
196,1.633333,-0.018148,1.024803,0.021760,-0.236673,0.448486,-0.003798,1.864976,0.017967,0.351884
197,1.641667,-0.018101,1.024832,0.021803,-0.247420,0.452039,0.002649,1.865024,0.017946,0.351873
198,1.650000,-0.018148,1.024838,0.021803,-0.257815,0.455785,0.009205,1.865002,0.017952,0.351877
199,1.658333,-0.018242,1.024794,0.021772,-0.267885,0.459673,0.015843,1.864948,0.017977,0.351893
200,1.666667,-0.018280,1.024807,0.021771,-0.277507,0.464006,0.022592,1.864911,0.018001,0.351907
201,1.675000,-0.018239,1.024818,0.021747,-0.286676,0.468525,0.029213,1.864935,0.017988,0.351899
202,1.683333,-0.018062,1.024951,0.021797,-0.295532,0.472992,0.035726,1.864954,0.017997,0.351899
203,1.691667,-0.017978,1.024992,0.021768,-0.303806,0.477731,0.042562,1.864966,0.017964,0.351885
204,1.700000,-0.017857,1.024979,0.021714,-0.311815,0.482146,0.049019,1.864906,0.017996,0.351904
205,1.708333,-0.017866,1.025007,0.021664,-0.319425,0.486872,0.055654,1.865025,0.017948,0.351875
206,1.716667,-0.017865,1.025014,0.021652,-0.326752,0.491532,0.062080,1.865072,0.017923,0.351855
207,1.725000,-0.017875,1.025004,0.021651,-0.333421,0.496036,0.068507,1.864972,0.017986,0.351893
208,1.733333,-0.017876,1.025002,0.021658,-0.340037,0.500533,0.074804,1.865000,0.017960,0.351875
209,1.741667,-0.017868,1.025005,0.021669,-0.346106,0.505155,0.081136,1.864931,0.017994,0.351902
210,1.750000,-0.017861,1.024969,0.021724,-0.351724,0.509500,0.087269,1.864979,0.017971,0.351886
211,1.758333,-0.017896,1.024931,0.021748,-0.357032,0.513790,0.093493,1.864939,0.017999,0.351900
212,1.766667,-0.018019,1.024941,0.021795,-0.362114,0.517938,0.099617,1.864960,0.017988,0.351892
213,1.775000,-0.018089,1.024929,0.021813,-0.366740,0.521899,0.105567,1.864989,0.017973,0.351885
214,1.783333,-0.018201,1.024859,0.021798,-0.370942,0.525822,0.111446,1.864940,0.017994,0.351898
215,1.791667,-0.018208,1.024856,0.021806,-0.374846,0.529505,0.117137,1.864970,0.017978,0.351889
216,1.800000,-0.018178,1.024847,0.021797,-0.378363,0.533156,0.122851,1.865013,0.017952,0.351876
217,1.808333,-0.018074,1.024911,0.021821,-0.381619,0.536641,0.128335,1.865056,0.017940,0.351864
218,1.816667,-0.018044,1.024936,0.021809,-0.384403,0.540042,0.133771,1.865012,0.017962,0.351879
219,1.825000,-0.018031,1.024951,0.021790,-0.386835,0.543018,0.139018,1.865006,0.017959,0.351878
220,1.833333,-0.018018,1.024968,0.021780,-0.388973,0.546131,0.144360,1.864992,0.017970,0.351882
221,1.841667,-0.017981,1.024991,0.021755,-0.390507,0.548845,0.149584,1.864952,0.017976,0.351891
222,1.850000,-0.017931,1.025009,0.021736,-0.391899,0.551342,0.154526,1.864872,0.018018,0.351918
223,1.858333,-0.017855,1.024995,0.021657,-0.392711,0.553674,0.159330,1.864961,0.017993,0.351894
224,1.866667,-0.017798,1.024983,0.021617,-0.393373,0.555672,0.163936,1.865006,0.017961,0.351880
