Frame,Time,Pendulum_X,Pendulum_Y,Pendulum_Z,Top_X,Top_Y,Top_Z
117,0.975,-0.009364,0.377015,0.029457,-0.001063,1.021325,0.024708
118,0.983333,-0.00947,0.377082,0.029443,-0.001055,1.021327,0.024706
119,0.991667,-0.009469,0.37704,0.029507,-0.001057,1.021319,0.024708
120,1,-0.009458,0.376997,0.029555,-0.001048,1.021307,0.024701
121,1.008333,-0.009548,0.377027,0.029532,-0.001051,1.021313,0.024707
122,1.016667,-0.009628,0.377068,0.029507,-0.001056,1.021318,0.024708
123,1.025,-0.009677,0.377051,0.029511,-0.001052,1.021322,0.024712
124,1.033333,-0.009672,0.377013,0.029569,-0.00105,1.021318,0.024699
125,1.041667,-0.009707,0.377011,0.029637,-0.001062,1.021318,0.024702
126,1.05,-0.009787,0.377033,0.029599,-0.001069,1.021323,0.024709
127,1.058333,-0.009784,0.37699,0.029664,-0.001067,1.021318,0.024703
128,1.066667,-0.009817,0.376975,0.029677,-0.001065,1.021317,0.024704
129,1.075,-0.00988,0.376981,0.029688,-0.001069,1.021323,0.024707
130,1.083333,-0.009924,0.376971,0.029699,-0.001067,1.021317,0.024703
131,1.091667,-0.01004,0.377036,0.029667,-0.001064,1.021316,0.024701
132,1.1,-0.010089,0.377021,0.029673,-0.001062,1.021314,0.024705
133,1.108333,-0.010094,0.37698,0.029731,-0.001056,1.021315,0.024708
134,1.116667,-0.010147,0.376966,0.029747,-0.001061,1.021312,0.024702
135,1.125,-0.010261,0.377029,0.029673,-0.00105,1.021314,0.024703
136,1.133333,-0.010307,0.377029,0.029684,-0.001044,1.021322,0.024705
137,1.141667,-0.010349,0.377017,0.029699,-0.001039,1.021324,0.024705
138,1.15,-0.010397,0.377022,0.029717,-0.001039,1.021321,0.024703
139,1.158333,-0.010437,0.377009,0.029735,-0.001051,1.021321,0.024707
140,1.166667,-0.010517,0.377036,0.029751,-0.001056,1.021315,0.024709
141,1.175,-0.010562,0.377024,0.029767,-0.001065,1.021314,0.024705
142,1.183333,-0.010585,0.376998,0.029799,-0.001061,1.021315,0.024708
143,1.191667,-0.010643,0.377011,0.029826,-0.001061,1.02132,0.024711
144,1.2,-0.010682,0.376995,0.029832,-0.001053,1.021322,0.024707
145,1.208333,-0.010727,0.376998,0.029859,-0.001064,1.021317,0.024706
146,1.216667,-0.010773,0.376977,0.029866,-0.001071,1.021315,0.024711
147,1.225,-0.010817,0.376975,0.029881,-0.001061,1.021323,0.024704
148,1.233333,-0.01088,0.377,0.029911,-0.001055,1.021325,0.024704
149,1.241667,-0.010937,0.376981,0.029919,-0.001058,1.021319,0.0247
150,1.25,-0.010978,0.377001,0.029945,-0.001048,1.021326,0.0247
151,1.258333,-0.011014,0.377011,0.029947,-0.001054,1.021327,0.024708
152,1.266667,-0.011075,0.377004,0.029965,-0.00105,1.021325,0.02471
153,1.275,-0.011119,0.37699,0.029967,-0.001047,1.021326,0.024708
154,1.283333,-0.011166,0.376998,0.030002,-0.001054,1.021315,0.024704
155,1.291667,-0.011276,0.377035,0.029996,-0.001056,1.021306,0.024704
156,1.3,-0.011367,0.377076,0.029987,-0.00106,1.021312,0.024703
157,1.308333,-0.011406,0.377082,0.029992,-0.001049,1.021323,0.024704
158,1.316667,-0.011478,0.377059,0.030004,-0.001069,1.021313,0.024696
