Format Version,1.21,Take Name,Run_2_Paketband,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-02-14 10.46.50 AM,Total Frames in Take,6637,Total Exported Frames,6637,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:102,Unlabeled:102,Unlabeled:102,Unlabeled:103,Unlabeled:103,Unlabeled:103
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E357067"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
78,0.650000,-0.021410,0.413047,0.054478,-0.018013,1.024912,0.021719,1.865038,0.017911,0.351860,,,
79,0.658333,-0.021350,0.413029,0.054369,-0.017912,1.024917,0.021738,1.865123,0.017869,0.351836,,,
80,0.666667,-0.021237,0.413012,0.054188,-0.017959,1.024865,0.021711,1.865067,0.017887,0.351846,,,
81,0.675000,-0.021179,0.413037,0.053943,-0.017970,1.024852,0.021726,1.864496,0.017815,0.351785,,,
82,0.683333,-0.021074,0.413005,0.053744,-0.017899,1.024913,0.021775,1.865004,0.017924,0.351869,,,
83,0.691667,-0.021001,0.412992,0.053572,-0.017966,1.024845,0.021733,1.865051,0.017891,0.351853,,,
84,0.700000,-0.020884,0.412906,0.053328,-0.017974,1.024844,0.021753,1.865020,0.017934,0.351869,,,
85,0.708333,-0.020827,0.412871,0.053102,-0.017973,1.024840,0.021758,1.864969,0.017938,0.351876,,,
86,0.716667,-0.020735,0.412834,0.052733,-0.017977,1.024831,0.021755,1.864412,0.017858,0.351810,,,
87,0.725000,-0.020601,0.412753,0.052428,-0.018101,1.024821,0.021747,1.865035,0.017903,0.351859,,,
88,0.733333,-0.020554,0.412742,0.051961,-0.018045,1.024867,0.021780,1.865031,0.017917,0.351861,,,
89,0.741667,-0.020500,0.412770,0.051563,-0.017988,1.024835,0.021767,1.865034,0.017912,0.351861,,,
90,0.750000,-0.020481,0.412812,0.051165,-0.018033,1.024884,0.021776,1.864457,0.017854,0.351803,,,
91,0.758333,-0.020407,0.412756,0.050725,-0.017915,1.024893,0.021788,1.864423,0.017842,0.351807,,,
92,0.766667,-0.020380,0.412753,0.050290,-0.017911,1.024904,0.021780,1.864943,0.017961,0.351888,,,
93,0.775000,-0.020299,0.412701,0.049741,-0.017900,1.024905,0.021777,1.865054,0.017892,0.351851,,,
94,0.783333,-0.020279,0.412718,0.049287,-0.017906,1.024916,0.021778,1.865015,0.017929,0.351872,,,
95,0.791667,-0.020285,0.412769,0.048668,-0.017895,1.024919,0.021776,1.864553,0.017768,0.351765,,,
96,0.800000,-0.020293,0.412780,0.048153,-0.017901,1.024917,0.021767,1.864510,0.017815,0.351783,,,
97,0.808333,-0.020272,0.412717,0.047589,-0.017951,1.024871,0.021731,1.865061,0.017893,0.351850,,,
98,0.816667,-0.020250,0.412659,0.046994,-0.017908,1.024917,0.021770,1.865060,0.017899,0.351851,,,
99,0.825000,-0.020291,0.412694,0.046316,-0.017909,1.024910,0.021773,1.866929,0.014789,0.352187,,,
100,0.833333,-0.020241,0.412620,0.045755,-0.017923,1.024905,0.021774,1.865043,0.017908,0.351858,,,
101,0.841667,-0.020298,0.412591,0.045069,-0.017977,1.024945,0.021799,1.865037,0.017912,0.351862,,,
102,0.850000,-0.020289,0.412511,0.044419,-0.017931,1.024895,0.021784,1.864479,0.017833,0.351796,,,
103,0.858333,-0.020279,0.412475,0.043709,-0.017983,1.024940,0.021808,1.865069,0.017913,0.351858,,,
104,0.866667,-0.020290,0.412498,0.043065,-0.017981,1.024937,0.021805,1.865042,0.017918,0.351862,,,
105,0.875000,-0.020328,0.412417,0.042306,-0.017992,1.024838,0.021755,1.864585,0.017769,0.351761,,,
106,0.883333,-0.020355,0.412394,0.041658,-0.018036,1.024886,0.021769,1.864982,0.017947,0.351880,,,
107,0.891667,-0.020320,0.412354,0.040861,-0.017980,1.024848,0.021750,1.864999,0.017925,0.351870,,,
108,0.900000,-0.020399,0.412384,0.040121,-0.017959,1.024952,0.021801,1.864587,0.017769,0.351761,,,
109,0.908333,-0.020425,0.412322,0.039286,-0.017906,1.024911,0.021776,1.864565,0.017787,0.351770,,,
110,0.916667,-0.020408,0.412289,0.038540,-0.017898,1.024923,0.021775,1.864490,0.017832,0.351792,,,
