Format Version,1.21,Take Name,Run_1_Paketband,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-02-14 10.45.57 AM,Total Frames in Take,4156,Total Exported Frames,4156,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:102,Unlabeled:102,Unlabeled:102,Unlabeled:103,Unlabeled:103,Unlabeled:103,Unlabeled:104,Unlabeled:104,Unlabeled:104
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E357068","8392B20CF49E357068","8392B20CF49E357068"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
81,0.675000,-0.024133,0.412180,0.029710,-0.017997,1.025028,0.021734,1.864516,0.017784,0.351776,,,,,,
82,0.683333,-0.024191,0.412171,0.029753,-0.017996,1.025031,0.021733,1.865049,0.017890,0.351853,,,,,,
83,0.691667,-0.024205,0.412168,0.029777,-0.017999,1.025030,0.021729,1.864595,0.017769,0.351759,,,,,,
84,0.700000,-0.024218,0.412175,0.029792,-0.017993,1.025028,0.021736,1.864668,0.017714,0.351733,,,,,,
85,0.708333,-0.024249,0.412150,0.029882,-0.017997,1.025029,0.021735,1.865105,0.017858,0.351836,,,,,,
86,0.716667,-0.024266,0.412155,0.029904,-0.017990,1.025020,0.021728,1.865201,0.017781,0.351797,,,,,,
87,0.725000,-0.024282,0.412155,0.029923,-0.017993,1.025030,0.021741,1.864574,0.017768,0.351762,,,,,,
88,0.733333,-0.024291,0.412158,0.029941,-0.017990,1.025029,0.021730,1.864653,0.017727,0.351738,,,,,,
89,0.741667,-0.024300,0.412163,0.029964,-0.017992,1.025036,0.021733,1.864543,0.017784,0.351771,,,,,,
90,0.750000,-0.024321,0.412163,0.029982,-0.017985,1.025026,0.021730,1.865116,0.017830,0.351823,,,,,,
91,0.758333,-0.024336,0.412168,0.030009,-0.018011,1.025041,0.021698,1.864618,0.017747,0.351746,,,,,,
92,0.766667,-0.024353,0.412166,0.030030,-0.017994,1.025033,0.021732,1.864604,0.017735,0.351747,,,,,,
93,0.775000,-0.024361,0.412163,0.030045,-0.017993,1.025032,0.021739,1.865203,0.017787,0.351800,,,,,,
94,0.783333,-0.024388,0.412162,0.030107,-0.017991,1.025030,0.021733,1.864654,0.017716,0.351735,,,,,,
95,0.791667,-0.024460,0.412145,0.030164,-0.017988,1.025029,0.021732,1.865158,0.017821,0.351816,,,,,,
96,0.800000,-0.024477,0.412139,0.030177,-0.017993,1.025027,0.021728,1.864606,0.017739,0.351748,,,,,,
97,0.808333,-0.024495,0.412147,0.030204,-0.017990,1.025035,0.021733,1.864626,0.017731,0.351744,,,,,,
98,0.816667,-0.024519,0.412155,0.030224,-0.017995,1.025034,0.021738,1.865144,0.017821,0.351819,,,,,,
99,0.825000,-0.024529,0.412149,0.030239,-0.017986,1.025035,0.021738,1.864588,0.017741,0.351752,,,,,,
100,0.833333,-0.024550,0.412153,0.030262,-0.017991,1.025032,0.021744,1.864686,0.017691,0.351721,,,,,,
101,0.841667,-0.024573,0.412151,0.030283,-0.017992,1.025033,0.021742,1.864588,0.017754,0.351754,,,,,,
102,0.850000,-0.024590,0.412158,0.030304,-0.017987,1.025034,0.021745,1.865123,0.017844,0.351829,,,,,,
103,0.858333,-0.024608,0.412157,0.030320,-0.017990,1.025040,0.021750,1.864659,0.017702,0.351731,,,,,,
104,0.866667,-0.024640,0.412166,0.030379,-0.017988,1.025041,0.021742,1.864599,0.017739,0.351749,,,,,,
105,0.875000,-0.024665,0.412176,0.030402,-0.017987,1.025035,0.021744,1.864615,0.017724,0.351742,,,,,,
106,0.883333,-0.024683,0.412173,0.030420,-0.017993,1.025043,0.021749,1.864588,0.017743,0.351753,,,,,,
107,0.891667,-0.024703,0.412176,0.030443,-0.017982,1.025052,0.021747,1.864482,0.017796,0.351783,,,,,,
108,0.900000,-0.024723,0.412173,0.030459,-0.017989,1.025032,0.021742,1.865126,0.017836,0.351825,,,,,,
109,0.908333,-0.024744,0.412181,0.030477,-0.017991,1.025041,0.021742,1.864620,0.017737,0.351746,,,,,,
110,0.916667,-0.024747,0.412149,0.030537,-0.017985,1.025047,0.021741,1.865267,0.017758,0.351782,,,,,,
111,0.925000,-0.024773,0.412150,0.030550,-0.017985,1.025044,0.021738,1.864570,0.017743,0.351756,,,,,,
112,0.933333,-0.024786,0.412137,0.030600,-0.018045,1.024986,0.021702,1.864643,0.017712,0.351734,,,,,,
113,0.941667,-0.024803,0.412142,0.030620,-0.017982,1.025040,0.021736,1.864614,0.017723,0.351740,,,,,,
114,0.950000,-0.024824,0.412140,0.030634,-0.017984,1.025037,0.021738,1.864579,0.017746,0.351754,,,,,,
115,0.958333,-0.024844,0.412143,0.030657,-0.017979,1.025042,0.021734,1.865082,0.017843,0.351833,,,,,,
116,0.966667,-0.024867,0.412151,0.030671,-0.017984,1.025038,0.021737,1.864649,0.017713,0.351735,,,,,,
