"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.166527417E0,-7.898774414E0,4.818779297E0,1.098236206E1,1.436048563E1
1.176553417E0,-7.737559662E0,5.174439697E0,1.082833237E1,1.427926600E1
1.186579417E0,-7.566764832E0,5.500910797E0,1.065110092E1,1.417610315E1
1.196604417E0,-7.323520660E0,5.741011505E0,1.033316208E1,1.390566095E1
1.206630417E0,-7.047195282E0,5.840704193E0,9.927505646E0,1.350304244E1
1.216656417E0,-6.922654266E0,5.952671356E0,9.671388245E0,1.330011988E1
1.226682417E0,-6.934479675E0,6.043831787E0,9.570198669E0,1.327417092E1
1.236708417E0,-7.055428162E0,6.099965057E0,9.555678864E0,1.335288878E1
1.246733417E0,-7.256609802E0,6.122717743E0,9.681417389E0,1.356008485E1
1.256759417E0,-7.505392456E0,6.101312256E0,9.860145721E0,1.381229166E1
1.266785417E0,-7.792345734E0,6.075416107E0,1.015323624E1,1.416755233E1
1.276811417E0,-8.050858154E0,6.031707001E0,1.048344955E1,1.452929871E1
1.286836417E0,-8.163274384E0,5.879174194E0,1.065708847E1,1.465528139E1
1.296862417E0,-8.147108002E0,5.669011230E0,1.069915100E1,1.459400182E1
1.306888417E0,-8.007598114E0,5.418582001E0,1.060559555E1,1.435135239E1
1.316914417E0,-7.805817719E0,5.182223511E0,1.049692154E1,1.407023783E1
1.326940417E0,-7.624694366E0,4.988376617E0,1.040396484E1,1.382976319E1
1.336965417E0,-7.424859924E0,4.811145172E0,1.025712021E1,1.354563316E1
1.346991417E0,-7.244335327E0,4.643942871E0,1.011551468E1,1.328044566E1
1.357017417E0,-7.128027191E0,4.522096252E0,1.002959335E1,1.310919025E1
1.367043417E0,-7.051985321E0,4.404590607E0,9.959988098E0,1.297429298E1
1.377068417E0,-6.860533447E0,4.199816437E0,9.691446533E0,1.259482089E1
1.387094417E0,-6.528224487E0,3.894152069E0,9.215286713E0,1.194586307E1
1.397120417E0,-6.212830353E0,3.600462799E0,8.768914948E0,1.133386354E1
1.407146417E0,-5.918542328E0,3.314407654E0,8.330626373E0,1.074308043E1
1.417172417E0,-5.589676208E0,3.007396088E0,7.859555969E0,1.010255074E1
1.427197417E0,-5.341043243E0,2.756368103E0,7.497908020E0,9.609523023E0
1.437223417E0,-5.172044678E0,2.554887085E0,7.250322876E0,9.265240200E0
1.447249417E0,-5.018763428E0,2.373763733E0,6.996450806E0,8.931576819E0
1.457275417E0,-4.942571869E0,2.240241394E0,6.824608154E0,8.719115474E0
1.467300417E0,-4.934039612E0,2.159409485E0,6.707401886E0,8.602153002E0
1.477326417E0,-4.954247589E0,2.129172363E0,6.643933868E0,8.556856980E0
1.487352417E0,-5.041067047E0,2.140399017E0,6.649172974E0,8.614242054E0
1.497378417E0,-5.172194366E0,2.199526062E0,6.712640991E0,8.754944805E0
1.507404417E0,-5.327571259E0,2.302212524E0,6.846911774E0,8.975711607E0
1.517429417E0,-5.498366089E0,2.445764008E0,7.031328278E0,9.254910511E0
1.527455417E0,-5.623805237E0,2.590363312E0,7.133715363E0,9.446007744E0
1.537481417E0,-5.673202515E0,2.742596741E0,7.190896454E0,9.561174377E0
1.547507417E0,-5.715863800E0,2.906954956E0,7.247628479E0,9.677272584E0
1.557532417E0,-5.726940765E0,3.069217529E0,7.282805328E0,9.759979520E0
1.567558417E0,-5.695805511E0,3.230731659E0,7.270530853E0,9.784704715E0
1.577584417E0,-5.675896912E0,3.410058746E0,7.280559998E0,9.841283467E0
1.587610417E0,-5.619015198E0,3.570225677E0,7.223378906E0,9.823290997E0
1.597636417E0,-5.456153870E0,3.679797821E0,7.036567383E0,9.634511279E0
1.607661417E0,-5.302423553E0,3.787873077E0,6.859186249E0,9.461084187E0
1.617687417E0,-5.235213318E0,3.924239502E0,6.780599670E0,9.422507418E0
1.627713417E0,-5.201832733E0,4.098028107E0,6.795867920E0,9.488768041E0
1.637739417E0,-5.148393860E0,4.247567139E0,6.758595428E0,9.498757713E0
1.647764417E0,-5.012326813E0,4.321812744E0,6.639293518E0,9.374524196E0
1.657790417E0,-4.840035095E0,4.318220215E0,6.419550476E0,9.125984542E0
1.667816417E0,-4.686005402E0,4.282444611E0,6.237678680E0,8.899809761E0
1.677842417E0,-4.641248474E0,4.311035156E0,6.212231598E0,8.872318352E0
1.687868417E0,-4.654121704E0,4.336631927E0,6.254294128E0,8.920954005E0
1.697893417E0,-4.649930420E0,4.268523560E0,6.236930237E0,8.873637646E0
1.707919417E0,-4.691394196E0,4.183799744E0,6.264622650E0,8.874618681E0
1.717945417E0,-4.808450775E0,4.105662231E0,6.398594055E0,8.995535954E0
1.727971417E0,-5.041067047E0,4.062701569E0,6.665938110E0,9.292611683E0
1.737996417E0,-5.312752075E0,4.014052734E0,7.006779327E0,9.666070065E0
1.748022417E0,-5.554349670E0,3.909570007E0,7.310647430E0,9.979033207E0
1.758048417E0,-5.791157227E0,3.782933350E0,7.600893860E0,1.027724059E1
1.768074417E0,-6.067781982E0,3.704346771E0,7.983498230E0,1.069001437E1
1.778100417E0,-6.305337982E0,3.615581360E0,8.338110809E0,1.106136554E1
1.788125417E0,-6.487060089E0,3.525019684E0,8.652008057E0,1.137387163E1
1.798151417E0,-6.627019043E0,3.437002716E0,8.913214874E0,1.162651145E1
1.808177417E0,-6.685547333E0,3.339854736E0,9.072932739E0,1.175454301E1
1.818203417E0,-6.671626282E0,3.243305511E0,9.133257294E0,1.176630854E1
1.828228417E0,-6.672674103E0,3.162323914E0,9.178912354E0,1.178037793E1
1.838254417E0,-6.696175232E0,3.093018036E0,9.218280487E0,1.180602467E1
1.848280417E0,-6.687942352E0,3.011138306E0,9.233698425E0,1.179223106E1
1.858306708E0,-6.668033752E0,2.926264801E0,9.176667023E0,1.171481615E1
1.868332708E0,-6.613397369E0,2.819985809E0,9.045090637E0,1.155435024E1
1.878357708E0,-6.549330597E0,2.712359619E0,8.932075653E0,1.140318383E1
1.888383708E0,-6.535559235E0,2.632126465E0,8.877139893E0,1.133336829E1
1.898409708E0,-6.407126312E0,2.533481598E0,8.705147552E0,1.110177420E1
1.908435708E0,-6.206842804E0,2.437830505E0,8.422684937E0,1.074288307E1
1.918460708E0,-6.021977234E0,2.391427002E0,8.140821075E0,1.040461920E1
1.928486708E0,-5.889053650E0,2.409689026E0,7.929011536E0,1.016645356E1
1.938512708E0,-5.913602600E0,2.523602142E0,7.878716125E0,1.016923946E1
